ETitalics
Zonotrichia querula
Junco hyemalis
Calcarius lapponicus
Plectrophenax nivalis
Dolichonyx oryzivorus
Agelaius phoeniceus
Sturnella magna
Sturnella neglecta
Xanthocephalus xanthocephalus
Euphagus carolinus
Euphagus cyanocephalus
Quiscalus major
Quiscalus quiscula
Molothrus ater
Icterus spurius
Icterus galbula
Pinicola enucleator
Haemorhous purpureus
Haemorhous mexicanus
Loxia leucoptera
Loxia curvirostra
Acanthis flammea
Acanthis hornemanni
Spinus pinus
Spinus tristis
Coccothraustes vespertinus
Passer domesticus
Ichthyomyzon bdellium
Ichthyomyzon fossor
Ichthyomyzon greeleyi
Ichthyomyzon unicuspis
Lampetra aepyptera
Lethenteron appendix
Petromyzon marinus
Cottus bairdii
Cottus cognatus
Cottus girardi
Cottus ricei
Cottus caeruleomentum
Cottus sp. 7
Myoxocephalus thompsoni
Pygocentrus nattereri
Acipenser brevirostrum
Acipenser fulvescens
Acipenser oxyrinchus
Scaphirhynchus platorynchus
Polyodon spathula
Lepisosteus oculatus
Lepisosteus osseus
Lepisosteus platostomus
Amia calva
Elops saurus
Anguilla rostrata
Alosa aestivalis
Alosa chrysochloris
Alosa mediocris
Alosa pseudoharengus
Alosa sapidissima
Dorosoma cepedianum
Brevoortia tyrannus
Anchoa mitchilli
Hiodon alosoides
Hiodon tergisus
Coregonus artedi
Coregonus clupeaformis
Coregonus zenithicus
Oncorhynchus gorbuscha
Oncorhynchus kisutch
Oncorhynchus nerka
Oncorhynchus tshawytscha
Oncorhynchus mykiss
Salmo salar
Salmo trutta
Salvelinus fontinalis
Salvelinus namaycush
Osmerus mordax
Umbra limi
Umbra pygmaea
Esox americanus
Esox americanus americanus
Esox americanus vermiculatus
Esox lucius
Esox masquinongy
Esox niger
Campostoma anomalum
Carassius auratus
Clinostomus elongatus
Clinostomus funduloides
Ctenopharyngodon idella
Cyprinus carpio
Exoglossum laurae
Exoglossum maxillingua
Hybopsis amblops
Hybognathus hankinsoni
Hybognathus nuchalis
Hybognathus regius
Leuciscus idus
Nocomis biguttatus
Nocomis micropogon
Notemigonus crysoleucas
Notropis amoenus
Notropis ariommus
Notropis atherinoides
Notropis bifrenatus
Notropis blennius
Notropis buchanani
Notropis chalybaeus
Notropis dorsalis
Notropis heterodon
Notropis heterolepis
